u-1,i-1,u-2,i-2,u-3,i-3,u-4,i-4,U-1,I-1,U-2,I-2,U-3,I-3,U-4,I-4
,,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,,,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,,,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,,,,,85.4,10,,,,,85.4,0.13
,,85.4,10.24,,,,,85.4,9.99,,,,,85.4,0.13
,,85.4,10.24,,,,,85.4,9.99,,,,,85.4,0.13
,,85.4,10.24,,,,,85.4,9.99,,,,,85.4,0.13
,,85.4,10.24,,,,,85.4,9.99,,,,,85.4,0.13
,,85.4,10.24,,,,,,,,,,,85.4,0.13
,,85.4,10.24,,,,,,,,,,,85.2,0.13
,,85.4,10.24,,,,,,,,,,,85.4,0.13
,,85.4,10.24,,,,,,,,,,,85.4,0.13
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
,,85.4,10.24,,,,,,,,,,,,
